Postcode Code,Postcode Name,lga
2000,Sydney,Sydney
2007,Sydney,Sydney
2008,Sydney,Sydney
2009,Sydney,Sydney
2010,Sydney,Sydney
2011,Sydney,Sydney
2015,Sydney,Sydney
2016,Sydney,Sydney
2017,Sydney,Sydney
2018,Bayside,Bayside
2019,Bayside,Bayside
2020,Bayside,Bayside
2021,Woollahra,Sydney
2022,Waverley,Waverley
2023,Woollahra,Woollahra
2024,Waverley,Waverley
2025,Woollahra,Woollahra
2026,Waverley,Waverley
2027,Woollahra,Woollahra
2028,Woollahra,Woollahra
2029,Woollahra,Woollahra
2030,Waverley,Woollahra
2031,Randwick,Randwick
2032,Randwick,Bayside
2033,Randwick,Randwick
2034,Randwick,Randwick
2035,Randwick,Randwick
2036,Randwick,Randwick
2037,Sydney,Sydney
2038,Inner West,Inner West
2039,Inner West,Inner West
2040,Inner West,Inner West
2041,Inner West,Inner West
2042,Inner West,Inner West
2043,Sydney,Sydney
2044,Inner West,Inner West
2045,Inner West,Inner West
2046,Canada Bay,Canada Bay
2047,Canada Bay,Canada Bay
2048,Inner West,Inner West
2049,Inner West,Inner West
2050,Sydney,Sydney
2060,North Sydney,North Sydney
2061,North Sydney,North Sydney
2062,North Sydney,North Sydney
2063,Willoughby,Willoughby
2064,Willoughby,Willoughby
2065,North Sydney,Lane Cove
2066,Lane Cove,Lane Cove
2067,Willoughby,Willoughby
2068,Willoughby,Willoughby
2069,Ku-ring-gai,Ku-ring-gai
2070,Ku-ring-gai,Ku-ring-gai
2071,Ku-ring-gai,Ku-ring-gai
2072,Ku-ring-gai,Ku-ring-gai
2073,Ku-ring-gai,Ku-ring-gai
2074,Ku-ring-gai,Ku-ring-gai
2075,Ku-ring-gai,Ku-ring-gai
2076,Ku-ring-gai,Ku-ring-gai
2077,Hornsby,Hornsby
2079,Hornsby,Hornsby
2080,Hornsby,Hornsby
2081,Hornsby,Hornsby
2082,Hornsby,Hornsby
2083,Hornsby,Hornsby
2084,Northern Beaches,Northern Beaches
2085,Northern Beaches,Northern Beaches
2086,Northern Beaches,Northern Beaches
2087,Northern Beaches,Northern Beaches
2088,Mosman,Mosman
2089,North Sydney,North Sydney
2090,North Sydney,North Sydney
2092,Northern Beaches,Northern Beaches
2093,Northern Beaches,Northern Beaches
2094,Northern Beaches,Northern Beaches
2095,Northern Beaches,Northern Beaches
2096,Northern Beaches,Northern Beaches
2097,Northern Beaches,Northern Beaches
2099,Northern Beaches,Northern Beaches
2100,Northern Beaches,Northern Beaches
2101,Northern Beaches,Northern Beaches
2102,Northern Beaches,Northern Beaches
2103,Northern Beaches,Northern Beaches
2104,Northern Beaches,Northern Beaches
2105,Northern Beaches,Northern Beaches
2106,Northern Beaches,Northern Beaches
2107,Northern Beaches,Northern Beaches
2108,Northern Beaches,Northern Beaches
2110,Hunters Hill,Hunters Hill
2111,Ryde,Hunters Hill
2112,Ryde,Ryde
2113,Ryde,Ryde
2114,Ryde,Ryde
2115,Parramatta,Parramatta
2116,Parramatta,Parramatta
2117,Parramatta,Parramatta
2118,Parramatta,Parramatta
2119,Hornsby,Hornsby
2120,Hornsby,Hornsby
2121,Parramatta,Parramatta
2122,Ryde,Ryde
2125,Hills Shire,Hills Shire
2126,Hornsby,Hornsby
2127,Parramatta,Parramatta
2128,Parramatta,Parramatta
2130,Inner West,Inner West
2131,Inner West,Inner West
2132,Burwood,Burwood
2133,Burwood,Canterbury-Bankstown
2134,Burwood,Burwood
2135,Strathfield,Strathfield
2136,Strathfield,Strathfield
2137,Canada Bay,Canada Bay
2138,Canada Bay,Canada Bay
2140,Strathfield,Strathfield
2141,Cumberland,Cumberland
2142,Cumberland,Parramatta
2143,Canterbury-Bankstown,Canterbury-Bankstown
2144,Cumberland,Cumberland
2145,Cumberland,Cumberland
2146,Parramatta,Parramatta
2147,Blacktown,Blacktown
2148,Blacktown,Blacktown
2150,Parramatta,Parramatta
2151,Parramatta,Parramatta
2152,Parramatta,Parramatta
2153,Hills Shire,Hills Shire
2154,Hills Shire,Hills Shire
2155,Hills Shire,Hills Shire
2156,Hills Shire,Hills Shire
2157,Hills Shire,Hills Shire
2158,Hornsby,Hornsby
2159,Hornsby,Hornsby
2160,Cumberland,Cumberland
2161,Cumberland,Cumberland
2162,Canterbury-Bankstown,Canterbury-Bankstown
2163,Canterbury-Bankstown,Canterbury-Bankstown
2164,Fairfield,Fairfield
2165,Fairfield,Fairfield
2166,Fairfield,Fairfield
2167,Campbelltown,Campbelltown
2168,Liverpool,Liverpool
2170,Liverpool,Liverpool
2171,Liverpool,Liverpool
2172,Liverpool,Liverpool
2173,Liverpool,Campbelltown
2174,Liverpool,Liverpool
2175,Fairfield,Fairfield
2176,Fairfield,Fairfield
2177,Fairfield,Fairfield
2178,Penrith,Penrith
2179,Camden,Camden
2190,Canterbury-Bankstown,Canterbury-Bankstown
2191,Canterbury-Bankstown,Canterbury-Bankstown
2192,Canterbury-Bankstown,Canterbury-Bankstown
2193,Canterbury-Bankstown,Canterbury-Bankstown
2194,Canterbury-Bankstown,Canterbury-Bankstown
2195,Canterbury-Bankstown,Canterbury-Bankstown
2196,Canterbury-Bankstown,Canterbury-Bankstown
2197,Canterbury-Bankstown,Canterbury-Bankstown
2198,Canterbury-Bankstown,Canterbury-Bankstown
2199,Canterbury-Bankstown,Canterbury-Bankstown
2200,Canterbury-Bankstown,Canterbury-Bankstown
2203,Inner West,Inner West
2204,Inner West,Inner West
2205,Bayside,Bayside
2206,Canterbury-Bankstown,Canterbury-Bankstown
2207,Bayside,Bayside
2208,Canterbury-Bankstown,Canterbury-Bankstown
2209,Georges River,Canterbury-Bankstown
2210,Georges River,Georges River
2211,Canterbury-Bankstown,Canterbury-Bankstown
2212,Canterbury-Bankstown,Canterbury-Bankstown
2213,Canterbury-Bankstown,Canterbury-Bankstown
2214,Canterbury-Bankstown,Canterbury-Bankstown
2216,Bayside,Bayside
2217,Georges River,Bayside
2218,Georges River,Georges River
2219,Bayside,Bayside
2220,Georges River,Georges River
2221,Georges River,Georges River
2222,Georges River,Georges River
2223,Georges River,Georges River
2224,Sutherland Shire,Sutherland Shire
2225,Sutherland Shire,Sutherland Shire
2226,Sutherland Shire,Sutherland Shire
2227,Sutherland Shire,Sutherland Shire
2228,Sutherland Shire,Sutherland Shire
2229,Sutherland Shire,Sutherland Shire
2230,Sutherland Shire,Sutherland Shire
2231,Sutherland Shire,Sutherland Shire
2232,Sutherland Shire,Sutherland Shire
2233,Sutherland Shire,Sutherland Shire
2234,Sutherland Shire,Sutherland Shire
2250,Central Coast,Central Coast
2251,Central Coast,Central Coast
2256,Central Coast,Central Coast
2257,Central Coast,Central Coast
2258,Central Coast,Central Coast
2259,Central Coast,Central Coast
2260,Central Coast,Central Coast
2261,Central Coast,Central Coast
2262,Central Coast,Central Coast
2263,Central Coast,Central Coast
2264,Lake Macquarie,Lake Macquarie
2265,Lake Macquarie,Lake Macquarie
2267,Lake Macquarie,Lake Macquarie
2278,Lake Macquarie,Lake Macquarie
2280,Lake Macquarie,Lake Macquarie
2281,Lake Macquarie,Lake Macquarie
2282,Lake Macquarie,Lake Macquarie
2283,Lake Macquarie,Lake Macquarie
2284,Lake Macquarie,Lake Macquarie
2285,Lake Macquarie,Lake Macquarie
2286,Lake Macquarie,Lake Macquarie
2287,Newcastle,Newcastle
2289,Newcastle,Newcastle
2290,Lake Macquarie,Lake Macquarie
2291,Newcastle,Newcastle
2292,Newcastle,Newcastle
2293,Newcastle,Newcastle
2294,Newcastle,Newcastle
2295,Newcastle,Port Stephens
2296,Newcastle,Newcastle
2297,Newcastle,Newcastle
2298,Newcastle,Newcastle
2299,Newcastle,Newcastle
2300,Newcastle,Newcastle
2302,Newcastle,Newcastle
2303,Newcastle,Newcastle
2304,Newcastle,Newcastle
2305,Newcastle,Newcastle
2306,Lake Macquarie,Lake Macquarie
2307,Newcastle,Newcastle
2308,Newcastle,Newcastle
2309,Hornsby,Hornsby
2311,Dungog,Dungog
2312,Mid-Coast,Mid-Coast
2315,Port Stephens,Port Stephens
2316,Port Stephens,Port Stephens
2317,Port Stephens,Port Stephens
2318,Port Stephens,Port Stephens
2319,Port Stephens,Port Stephens
2320,Maitland,Maitland
2321,Maitland,Dungog
2322,Maitland,Newcastle
2323,Maitland,Cessnock
2324,Port Stephens,Port Stephens
2325,Cessnock,Cessnock
2326,Cessnock,Cessnock
2327,Cessnock,Cessnock
2328,Muswellbrook,Muswellbrook
2329,Upper Hunter Shire,Upper Hunter Shire
2330,Singleton,Singleton
2333,Muswellbrook,Muswellbrook
2334,Cessnock,Cessnock
2335,Cessnock,Singleton
2336,Upper Hunter Shire,Upper Hunter Shire
2337,Upper Hunter Shire,Upper Hunter Shire
2338,Upper Hunter Shire,Upper Hunter Shire
2339,Liverpool Plains,Liverpool Plains
2340,Tamworth Regional,Tamworth Regional
2341,Liverpool Plains,Liverpool Plains
2342,Liverpool Plains,Liverpool Plains
2343,Liverpool Plains,Liverpool Plains
2344,Tamworth Regional,Tamworth Regional
2345,Tamworth Regional,Tamworth Regional
2346,Tamworth Regional,Tamworth Regional
2347,Tamworth Regional,Tamworth Regional
2350,Armidale Regional,Armidale Regional
2352,Tamworth Regional,Tamworth Regional
2353,Tamworth Regional,Tamworth Regional
2354,Walcha,Walcha
2355,Tamworth Regional,Tamworth Regional
2356,Narrabri,Narrabri
2357,Warrumbungle Shire,Warrumbungle Shire
2358,Uralla,Uralla
2359,Uralla,Uralla
2360,Inverell,Inverell
2361,Inverell,Inverell
2365,Armidale Regional,Armidale Regional
2369,Armidale Regional,Armidale Regional
2370,Glen Innes Severn,Glen Innes Severn
2371,Glen Innes Severn,Glen Innes Severn
2372,Tenterfield,Tenterfield
2379,Gunnedah,Warrumbungle Shire
2380,Gunnedah,Gunnedah
2381,Gunnedah,Gunnedah
2382,Narrabri,Narrabri
2386,Walgett,Walgett
2387,Walgett,Walgett
2388,Narrabri,Narrabri
2390,Narrabri,Narrabri
2395,Warrumbungle Shire,Warrumbungle Shire
2396,Warrumbungle Shire,Warrumbungle Shire
2397,Narrabri,Narrabri
2398,Moree Plains,Moree Plains
2399,Moree Plains,Moree Plains
2400,Moree Plains,Moree Plains
2401,Gwydir,Gwydir
2402,Gwydir,Gwydir
2403,Inverell,Inverell
2404,Gwydir,Gwydir
2405,Moree Plains,Moree Plains
2406,Moree Plains,Moree Plains
2408,Gwydir,Gwydir
2409,Moree Plains,Moree Plains
2410,Inverell,Inverell
2411,Gwydir,Gwydir
2415,Mid-Coast,Mid-Coast
2420,Dungog,Dungog
2421,Dungog,Dungog
2422,Mid-Coast,Mid-Coast
2423,Mid-Coast,Mid-Coast
2424,Mid-Coast,Mid-Coast
2425,Mid-Coast,Mid-Coast
2426,Mid-Coast,Mid-Coast
2427,Mid-Coast,Mid-Coast
2428,Mid-Coast,Mid-Coast
2429,Mid-Coast,Mid-Coast
2430,Mid-Coast,Mid-Coast
2431,Kempsey,Kempsey
2439,Port Macquarie-Hastings,Port Macquarie-Hastings
2440,Kempsey,Kempsey
2441,Port Macquarie-Hastings,Port Macquarie-Hastings
2443,Port Macquarie-Hastings,Mid-Coast
2444,Port Macquarie-Hastings,Port Macquarie-Hastings
2445,Port Macquarie-Hastings,Port Macquarie-Hastings
2446,Port Macquarie-Hastings,Port Macquarie-Hastings
2447,Nambucca,Nambucca
2448,Nambucca,Nambucca
2449,Nambucca,Nambucca
2450,Coffs Harbour,Coffs Harbour
2452,Coffs Harbour,Coffs Harbour
2453,Bellingen,Clarence Valley
2454,Bellingen,Bellingen
2455,Bellingen,Bellingen
2456,Coffs Harbour,Coffs Harbour
2460,Clarence Valley,Clarence Valley
2462,Clarence Valley,Clarence Valley
2463,Clarence Valley,Clarence Valley
2464,Clarence Valley,Clarence Valley
2465,Clarence Valley,Clarence Valley
2466,Clarence Valley,Clarence Valley
2469,Kyogle,Kyogle
2470,Richmond Valley,Richmond Valley
2471,Richmond Valley,Richmond Valley
2472,Richmond Valley,Richmond Valley
2473,Richmond Valley,Richmond Valley
2474,Kyogle,Kyogle
2475,Tenterfield,Tenterfield
2476,Kyogle,Tenterfield
2477,Ballina,Ballina
2478,Ballina,Ballina
2479,Byron,Byron
2480,Lismore,Lismore
2481,Byron,Byron
2482,Byron,Byron
2483,Byron,Byron
2484,Tweed,Tweed
2485,Tweed,Tweed
2486,Tweed,Tweed
2487,Tweed,Tweed
2488,Tweed,Tweed
2489,Tweed,Tweed
2490,Tweed,Tweed
2500,Wollongong,Wollongong
2502,Wollongong,Wollongong
2505,Wollongong,Wollongong
2506,Wollongong,Wollongong
2508,Wollongong,Wollongong
2515,Wollongong,Wollongong
2516,Wollongong,Wollongong
2517,Wollongong,Wollongong
2518,Wollongong,Wollongong
